feature,auc_drop
nbr_n_vacant_tract,0.04260351940825713
nbr_n_vacant_zip,0.04044009972885099
nbr_ovs_rate_zip,0.036900987638694205
days_since_last_cs,0.035887680432451496
nbr_ovs_rate_tract,0.028892013163660635
days_since_last_viol,0.013245323607871784
n_cs_total,0.009830821601401918
years_since_sale,0.00796299036817194
resolution_rate,0.0058692041290142605
building_age,0.004412668104355699
