model,roc_auc,pr_auc,brier,j_index,rank_roc,rank_pr,rank_brier,rank_j,composite
ensemble,0.9395097135781513,0.546053086034103,0.006848787749626299,0.7382255451254189,1.0,1.0,1.0,1.0,1.0
logit,0.9321358863859005,0.4132891080056717,0.008014090455316482,0.7190344852398227,2.0,3.0,3.0,2.0,2.5
rf,0.9203471552450102,0.5325919245573776,0.006955263206310943,0.7053298813451276,3.0,2.0,2.0,3.0,2.5
xgb,0.8100181536718354,0.2296996272881185,0.009609075619847298,0.4872174488201042,5.0,4.0,4.0,5.0,4.5
lgb,0.8308691185551698,0.10460892063202024,0.010502657873909785,0.5761611769892152,4.0,5.0,5.0,4.0,4.5
