tier,n_parcels,n_observed,precision,pct_total
Bottom 75% (lowest risk),400724,154,0.0003843044090196744,0.7703327207437197
75–90%,68022,162,0.0023815824292140776,0.13076225115148907
90–95%,27845,377,0.013539235051176154,0.05352790102192251
95–99%,18433,1223,0.06634839689686975,0.035434720759098495
Top 1% (highest risk),5172,4018,0.7768754833720031,0.009942406323770272
